Date	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset
1/13/2013 14:00	8	1678.1	50400	1358085600	591873	15.11
1/13/2013 15:00	8.3	1678.1	54000	1358089200	592375	15.11
1/13/2013 16:00	8.3	1600.5	57600	1358092800	560957	15.11
1/13/2013 17:00	8.8	1629.6	61200	1358096400	573497	15.11
1/13/2013 18:00	8.8	1503.5	64800	1358100000	549329	15.11
1/13/2013 19:00	8.8	1358	68400	1358103600	506120	15.11
1/13/2013 20:00	8.8	1280.4	72000	1358107200	467833	15.11
1/13/2013 21:00	8.8	1358	75600	1358110800	506120	15.11
1/13/2013 22:00	8.8	1164	79200	1358114400	414792	15.11
1/13/2013 23:00	8.8	1134.9	82800	1358118000	402350	15.11
1/14/2013 0:00	8.8	58.2	0	1358121600	35675	15.11
1/14/2013 1:00	8.8	1280.4	3600	1358125200	467833	15.11
1/14/2013 2:00	8.8	1290.1	7200	1358128800	472491	15.11
1/14/2013 3:00	8.8	1309.5	10800	1358132400	481915	15.11
1/14/2013 4:00	9.1	1299.8	14400	1358136000	477872	15.11
1/14/2013 5:00	9.4	1358	18000	1358139600	507836	15.11
1/14/2013 6:00	8.8	1396.8	21600	1358143200	526146	15.11
1/14/2013 7:00	9.7	1455	25200	1358146800	560819	15.11
1/14/2013 8:00	10.2	1493.8	28800	1358150400	569026	15.11
1/14/2013 9:00	13.2	858.45	32400	1358154000	328604	16.11
1/14/2013 10:00	11.8	2022.45	36000	1358157600	789530	15.11
1/14/2013 11:00	11	2066.1	39600	1358161200	793576	15.11
1/14/2013 12:00	9.9	2197.05	43200	1358164800	851043	15.11
1/14/2013 13:00	8.7	2080.65	46800	1358168400	781253	15.11
1/14/2013 14:00	8.2	2124.3	50400	1358172000	802534	15.11
1/14/2013 15:00	7.9	2095.2	54000	1358175600	786493	15.11
1/14/2013 16:00	7.9	2124.3	57600	1358179200	801740	15.11
1/14/2013 17:00	6.9	2080.65	61200	1358182800	777059	15.11
1/14/2013 19:00	5.5	931.2	68400	1358190000	321898	15.11
1/14/2013 20:00	5	873	72000	1358193600	302541	15.11
1/14/2013 21:00	4.8	887.55	75600	1358197200	307164	15.11
1/14/2013 22:00	4	873	79200	1358200800	302327	15.11
1/14/2013 23:00	4.2	873	82800	1358204400	302364	15.11
1/15/2013 0:00	3.7	873	0	1358208000	302277	15.11
1/15/2013 1:00	3.9	887.55	3600	1358211600	306974	15.11
1/15/2013 2:00	3.9	1804.2	7200	1358215200	641683	15.11
1/15/2013 3:00	3.9	1731.45	10800	1358218800	610104	15.11
1/15/2013 4:00	3.7	1716.9	14400	1358222400	603841	15.11
1/15/2013 5:00	3.7	1760.55	18000	1358226000	622456	15.11
1/15/2013 6:00	3.9	1818.75	21600	1358229600	648160	15.11
1/15/2013 7:00	3.6	1935.15	25200	1358233200	701699	15.11
1/15/2013 8:00	4.2	1935.15	28800	1358236800	702158	15.11
1/15/2013 9:00	3.9	1299.8	32400	1358240400	472593	15.11
1/15/2013 10:00	4.2	1251.3	36000	1358244000	449903	15.11
1/15/2013 11:00	3.9	1270.7	39600	1358247600	458781	15.11
1/15/2013 12:00	3.7	1309.5	43200	1358251200	477166	15.11
1/15/2013 13:00	3	1338.6	46800	1358254800	491060	15.11
1/15/2013 14:00	2.7	1396.8	50400	1358258400	520328	15.11
1/15/2013 15:00	2.9	1435.6	54000	1358262000	540722	15.11
1/15/2013 16:00	2.9	1416.2	57600	1358265600	530501	15.11
1/15/2013 17:00	2.9	1416.2	61200	1358269200	530501	15.11
1/15/2013 18:00	3	1367.7	64800	1358272800	505606	15.11
1/15/2013 19:00	2.1	1367.7	68400	1358276400	505226	15.11
1/15/2013 20:00	2	1280.4	72000	1358280000	462603	15.11
1/15/2013 21:00	1.7	1358	75600	1358283600	500217	15.11
1/15/2013 22:00	1.7	1309.5	79200	1358287200	476389	15.11
1/15/2013 23:00	1.2	1241.6	82800	1358290800	444419	15.11
1/16/2013 0:00	1.4	1202.8	0	1358294400	427048	15.11
1/16/2013 1:00	1.1	1251.3	3600	1358298000	448840	15.11
1/16/2013 2:00	1.4	1212.5	7200	1358301600	431348	15.11
1/16/2013 3:00	1.4	58.2	10800	1358305200	35675	15.11
1/16/2013 4:00	1.2	1493.8	14400	1358308800	554510	15.11
1/16/2013 5:00	1.4	58.2	18000	1358312400	35675	15.11
1/16/2013 6:00	1.4	58.2	21600	1358316000	35675	15.11
1/16/2013 7:00	1.4	58.2	25200	1358319600	35675	15.11
1/16/2013 8:00	1.9	1231.9	28800	1358323200	440170	15.11
1/16/2013 9:00	1.9	1324.05	32400	1358326800	483503	15.11
1/16/2013 10:00	2.5	1018.5	36000	1358330400	352271	15.11
1/16/2013 11:00	2.5	1033.05	39600	1358334000	357727	15.11
1/16/2013 12:00	3	1076.7	43200	1358337600	374682	15.11
1/16/2013 13:00	3.6	1120.35	46800	1358341200	392437	15.11
1/16/2013 14:00	3.9	1120.35	50400	1358344800	392538	15.11
1/16/2013 15:00	3.7	1091.25	54000	1358348400	380651	15.11
1/16/2013 16:00	3.6	1164	57600	1358352000	410766	15.11
1/16/2013 17:00	3.9	1193.1	61200	1358355600	423510	15.11
1/16/2013 18:00	3.9	1033.05	64800	1358359200	358035	15.11
1/16/2013 19:00	3.9	989.4	68400	1358362800	341872	15.11
1/16/2013 20:00	3.9	1324.05	72000	1358366400	484344	15.11
1/16/2013 21:00	4.1	931.2	75600	1358370000	321491	15.11
1/16/2013 22:00	4.1	945.75	79200	1358373600	326478	15.11
1/16/2013 23:00	4.1	945.75	82800	1358377200	326478	15.11
1/17/2013 0:00	4.1	931.2	0	1358380800	321491	15.11
1/17/2013 1:00	4.1	1309.5	3600	1358384400	477371	15.11
1/17/2013 2:00	4.5	1411.35	7200	1358388000	528789	15.11
1/17/2013 3:00	4.5	1353.15	10800	1358391600	499056	15.11
1/17/2013 4:00	4.2	1324.05	14400	1358395200	484500	15.11
1/17/2013 5:00	3.6	931.2	18000	1358398800	321390	15.11
1/17/2013 6:00	3.2	931.2	21600	1358402400	321321	15.11
1/17/2013 7:00	2.4	974.85	25200	1358406000	336370	15.11
1/17/2013 8:00	2.5	931.2	28800	1358409600	321219	15.11
1/17/2013 9:00	2.7	766.3	32400	1358413200	257870	15.11
1/17/2013 10:00	3.4	921.5	36000	1358416800	318078	15.11
1/17/2013 11:00	3.9	970	39600	1358420400	334921	15.11
1/17/2013 12:00	3.1	960.3	43200	1358424000	331343	15.11
1/17/2013 13:00	2.6	989.4	46800	1358427600	341616	15.11
1/17/2013 14:00	2.1	999.1	50400	1358431200	345062	15.11
