Date	Twet	Load	Hour(s)	TimeStamp(s)
2011-02-26 13:00:00	2.0	58.2	46800	1298725200
2011-02-26 14:00:00	2.5	436.5	50400	1298728800
2011-02-26 15:00:00	2.3	543.2	54000	1298732400
2011-02-26 16:00:00	1.7	58.2	57600	1298736000
2011-02-26 17:00:00	2.2	494.7000000000001	61200	1298739600
2011-02-26 18:00:00	2.0	58.2	64800	1298743200
2011-02-26 19:00:00	2.4	58.2	68400	1298746800
2011-02-26 20:00:00	2.6	58.2	72000	1298750400
2011-02-26 21:00:00	2.5	58.2	75600	1298754000
2011-02-26 22:00:00	2.5	58.2	79200	1298757600
2011-02-26 23:00:00	2.4	58.2	82800	1298761200
2011-02-27 00:00:00	2.7	58.2	0	1298764800
2011-02-27 01:00:00	2.0	58.2	3600	1298768400
2011-02-27 02:00:00	2.4	58.2	7200	1298772000
2011-02-27 03:00:00	1.5	58.2	10800	1298775600
2011-02-27 04:00:00	0.6	58.2	14400	1298779200
2011-02-27 05:00:00	0.1	58.2	18000	1298782800
2011-02-27 06:00:00	1.4	58.2	21600	1298786400
2011-02-27 07:00:00	2.6	58.2	25200	1298790000
2011-02-27 08:00:00	3.9	523.8000000000002	28800	1298793600
2011-02-27 09:00:00	5.0	58.2	32400	1298797200
2011-02-27 10:00:00	6.0	426.8	36000	1298800800
2011-02-27 11:00:00	7.5	58.2	39600	1298804400
2011-02-27 12:00:00	8.2	58.2	43200	1298808000
2011-02-27 13:00:00	8.9	58.2	46800	1298811600
2011-02-27 14:00:00	7.9	58.2	50400	1298815200
2011-02-27 15:00:00	7.3	58.2	54000	1298818800
2011-02-27 16:00:00	8.1	58.2	57600	1298822400
2011-02-27 17:00:00	6.8	58.2	61200	1298826000
2011-02-27 18:00:00	6.2	58.2	64800	1298829600
2011-02-27 19:00:00	5.9	58.2	68400	1298833200
2011-02-27 20:00:00	6.1	58.2	72000	1298836800
2011-02-27 21:00:00	6.3	455.89999999999986	75600	1298840400
2011-02-27 22:00:00	6.4	58.2	79200	1298844000
2011-02-27 23:00:00	5.6	58.2	82800	1298847600
2011-02-28 00:00:00	6.0	58.2	0	1298851200
2011-02-28 01:00:00	6.4	58.2	3600	1298854800
2011-02-28 02:00:00	5.6	417.1	7200	1298858400
2011-02-28 03:00:00	5.6	523.8000000000002	10800	1298862000
2011-02-28 04:00:00	5.3	58.2	14400	1298865600
2011-02-28 05:00:00	5.8	58.2	18000	1298869200
2011-02-28 06:00:00	5.8	58.2	21600	1298872800
2011-02-28 07:00:00	6.4	58.2	25200	1298876400
2011-02-28 08:00:00	9.4	58.2	28800	1298880000
2011-02-28 09:00:00	13.1	58.2	32400	1298883600
2011-02-28 10:00:00	15.8	58.2	36000	1298887200
2011-02-28 11:00:00	13.3	58.2	39600	1298890800
2011-02-28 12:00:00	13.7	58.2	43200	1298894400
2011-02-28 13:00:00	13.8	58.2	46800	1298898000
2011-02-28 14:00:00	13.8	58.2	50400	1298901600
2011-02-28 15:00:00	13.8	58.2	54000	1298905200
2011-02-28 16:00:00	13.5	58.2	57600	1298908800
2011-02-28 17:00:00	13.5	58.2	61200	1298912400
2011-02-28 18:00:00	13.2	58.2	64800	1298916000
2011-02-28 19:00:00	10.2	58.2	68400	1298919600
