	Unnamed: 0	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek	Load_dis	Twet_dis	Tset_BN
220	2012-03-06 11:00:00	0.3	58.2	39600	1331031600	35675	15.11	11	3	1	100	10.0	15.11
221	2012-03-06 12:00:00	1.4	58.2	43200	1331035200	35675	15.11	12	3	1	100	10.0	15.11
222	2012-03-06 13:00:00	1.8	58.2	46800	1331038800	35675	15.11	13	3	1	100	10.0	15.11
223	2012-03-06 14:00:00	2.2	58.2	50400	1331042400	35675	15.11	14	3	1	100	10.0	15.11
224	2012-03-06 15:00:00	2.5	58.2	54000	1331046000	35675	15.11	15	3	1	100	10.0	15.11
225	2012-03-06 16:00:00	2.0	58.2	57600	1331049600	35675	15.11	16	3	1	100	10.0	15.11
226	2012-03-06 17:00:00	1.7	58.2	61200	1331053200	35675	15.11	17	3	1	100	10.0	15.11
227	2012-03-06 18:00:00	1.4	58.2	64800	1331056800	35675	15.11	18	3	1	100	10.0	15.11
228	2012-03-06 19:00:00	1.5	58.2	68400	1331060400	35675	15.11	19	3	1	100	10.0	15.11
229	2012-03-06 20:00:00	1.3	58.2	72000	1331064000	35675	15.11	20	3	1	100	10.0	15.11
230	2012-03-06 21:00:00	0.6	58.2	75600	1331067600	35675	15.11	21	3	1	100	10.0	15.11
231	2012-03-06 22:00:00	0.6	58.2	79200	1331071200	35675	15.11	22	3	1	100	10.0	15.11
232	2012-03-06 23:00:00	1.1	58.2	82800	1331074800	35675	15.11	23	3	1	100	10.0	15.11
233	2012-03-07 00:00:00	0.8	58.2	0	1331078400	35675	15.11	0	3	2	100	10.0	15.11
234	2012-03-07 01:00:00	1.3	58.2	3600	1331082000	35675	15.11	1	3	2	100	10.0	15.11
235	2012-03-07 02:00:00	1.0	58.2	7200	1331085600	35675	15.11	2	3	2	100	10.0	15.11
236	2012-03-07 03:00:00	0.5	58.2	10800	1331089200	35675	15.11	3	3	2	100	10.0	15.11
237	2012-03-07 04:00:00	-0.1	58.2	14400	1331092800	35675	15.11	4	3	2	100	10.0	15.11
238	2012-03-07 05:00:00	-0.6	58.2	18000	1331096400	35675	15.11	5	3	2	100	10.0	15.11
239	2012-03-07 06:00:00	-1.2	58.2	21600	1331100000	35675	15.11	6	3	2	100	10.0	15.11
240	2012-03-07 07:00:00	2.0	58.2	25200	1331103600	35675	15.11	7	3	2	100	10.0	15.11
241	2012-03-07 08:00:00	4.2	58.2	28800	1331107200	35675	15.11	8	3	2	100	10.0	15.11
242	2012-03-07 11:00:00	7.6	58.2	39600	1331118000	35675	15.11	11	3	2	100	10.0	15.11
243	2012-03-08 03:00:00	9.9	58.2	10800	1331175600	35675	15.11	3	3	3	100	10.0	15.11
244	2012-03-09 05:00:00	4.1	58.2	18000	1331269200	35675	15.11	5	3	4	100	10.0	15.11
245	2012-03-09 06:00:00	3.2	58.2	21600	1331272800	35675	15.11	6	3	4	100	10.0	15.11
246	2012-03-09 07:00:00	2.5	58.2	25200	1331276400	35675	15.11	7	3	4	100	10.0	15.11
247	2012-03-09 08:00:00	2.6	58.2	28800	1331280000	35675	15.11	8	3	4	100	10.0	15.11
248	2012-03-09 09:00:00	2.5	58.2	32400	1331283600	35675	15.11	9	3	4	100	10.0	15.11
249	2012-03-09 10:00:00	3.1	58.2	36000	1331287200	35675	15.11	10	3	4	100	10.0	15.11
